blast_id,mine_name,country,rock_type,mine_type,cluster_group,spacing_to_burden_ratio,bench_height_to_burden_ratio,burden_to_hole_diameter_ratio,stemming_to_burden_ratio,powder_factor_kg_m3,insitu_block_size_m,modulus_of_elasticity_gpa,mean_fragment_size_m,mean_fragment_size_cm
En1,Enusa Mine,Spain,"Uranium ore (schistose, folded)",Open-pit,Group 1 (high elastic modulus),1.24,1.33,27.27,0.78,0.48,0.58,60.0,0.37,37.0
En2,Enusa Mine,Spain,"Uranium ore (schistose, folded)",Open-pit,Group 1 (high elastic modulus),1.24,1.33,27.27,0.78,0.48,0.58,60.0,0.37,37.0
En3,Enusa Mine,Spain,"Uranium ore (schistose, folded)",Open-pit,Group 1 (high elastic modulus),1.24,1.33,27.27,0.78,0.48,1.08,60.0,0.33,33.0
En4,Enusa Mine,Spain,"Uranium ore (schistose, folded)",Open-pit,Group 1 (high elastic modulus),1.24,1.33,27.27,0.78,0.48,1.11,60.0,0.42,42.0
En5,Enusa Mine,Spain,"Uranium ore (schistose, folded)",Open-pit,Group 1 (high elastic modulus),1.24,1.33,27.27,0.78,0.48,1.08,60.0,0.46,46.0
En6,Enusa Mine,Spain,"Uranium ore (schistose, folded)",Open-pit,Group 1 (high elastic modulus),1.24,1.33,27.27,1.17,0.27,1.08,60.0,0.37,37.0
En7,Enusa Mine,Spain,"Uranium ore (schistose, folded)",Open-pit,Group 1 (high elastic modulus),1.24,1.33,27.27,1.06,0.33,1.08,60.0,0.64,64.0
En8,Enusa Mine,Spain,"Uranium ore (schistose, folded)",Open-pit,Group 1 (high elastic modulus),1.24,1.33,27.27,0.91,0.41,1.11,60.0,0.42,42.0
En9,Enusa Mine,Spain,"Uranium ore (schistose, folded)",Open-pit,Group 1 (high elastic modulus),1.24,1.33,27.27,0.91,0.41,1.11,60.0,0.26,26.0
En10,Enusa Mine,Spain,"Uranium ore (schistose, folded)",Open-pit,Group 1 (high elastic modulus),1.24,1.33,27.27,0.99,0.36,1.08,60.0,0.42,42.0
En11,Enusa Mine,Spain,"Uranium ore (schistose, folded)",Open-pit,Group 1 (high elastic modulus),1.24,1.33,27.27,1.06,0.33,1.11,60.0,0.31,31.0
En12,Enusa Mine,Spain,"Uranium ore (schistose, folded)",Open-pit,Group 1 (high elastic modulus),1.24,1.33,27.27,1.06,0.33,1.11,60.0,0.38,38.0
Rc1,Reocin Mine,Spain,Zinc ore,Open-pit,Group 1 (high elastic modulus),1.17,1.5,26.2,1.08,0.33,0.68,45.0,0.46,46.0
Rc2,Reocin Mine,Spain,Zinc ore,Open-pit,Group 1 (high elastic modulus),1.17,1.5,26.2,1.12,0.3,0.68,45.0,0.48,48.0
Rc3,Reocin Mine,Spain,Zinc ore,Open-pit,Group 1 (high elastic modulus),1.17,1.58,26.2,1.22,0.28,0.68,45.0,0.48,48.0
Rc4,Reocin Mine,Spain,Zinc ore,Open-pit,Group 1 (high elastic modulus),1.17,1.96,26.2,1.3,0.34,1.56,45.0,0.75,75.0
Rc5,Reocin Mine,Spain,Zinc ore,Open-pit,Group 1 (high elastic modulus),1.17,1.75,26.2,1.31,0.29,1.56,45.0,0.96,96.0
Rc6,Reocin Mine,Spain,Zinc ore,Open-pit,Group 1 (high elastic modulus),1.17,1.75,26.2,1.16,0.36,1.56,45.0,0.76,76.0
Rc7,Reocin Mine,Spain,Zinc ore,Open-pit,Group 1 (high elastic modulus),1.17,1.67,26.2,1.22,0.31,1.8,45.0,0.53,53.0
Rc8,Reocin Mine,Spain,Zinc ore,Open-pit,Group 1 (high elastic modulus),1.17,1.83,26.2,1.34,0.3,1.8,45.0,0.56,56.0
Rc9,Reocin Mine,Spain,Zinc ore,Open-pit,Group 1 (high elastic modulus),1.17,1.83,26.2,1.29,0.32,1.8,45.0,0.74,74.0
Rc10,Reocin Mine,Spain,Zinc ore,Open-pit,Group 1 (high elastic modulus),1.17,1.83,26.2,1.23,0.35,1.8,45.0,0.44,44.0
Mg1,Murgul Copper Mine,Turkey,Dacite / altered dacite (copper),Open-pit,Group 1 (high elastic modulus),1.0,2.67,27.27,0.89,0.75,0.83,50.0,0.23,23.0
Mg2,Murgul Copper Mine,Turkey,Dacite / altered dacite (copper),Open-pit,Group 1 (high elastic modulus),1.0,2.67,27.27,0.89,0.75,0.78,50.0,0.25,25.0
Mg3,Murgul Copper Mine,Turkey,Dacite / altered dacite (copper),Open-pit,Group 1 (high elastic modulus),1.0,2.4,30.3,0.8,0.61,1.02,50.0,0.27,27.0
Mg4,Murgul Copper Mine,Turkey,Dacite / altered dacite (copper),Open-pit,Group 1 (high elastic modulus),1.0,2.4,30.3,0.8,0.61,0.75,50.0,0.3,30.0
Mg5,Murgul Copper Mine,Turkey,Dacite / altered dacite (copper),Open-pit,Group 1 (high elastic modulus),1.1,2.4,30.3,0.8,0.55,1.18,50.0,0.38,38.0
Mg6,Murgul Copper Mine,Turkey,Dacite / altered dacite (copper),Open-pit,Group 1 (high elastic modulus),1.1,2.4,30.3,0.8,0.55,1.24,50.0,0.37,37.0
Mg7,Murgul Copper Mine,Turkey,Dacite / altered dacite (copper),Open-pit,Group 1 (high elastic modulus),1.1,2.4,30.3,0.8,0.55,1.33,50.0,0.38,38.0
Ru1,Reocin Mine (Underground),Spain,Zinc ore,Underground,Group 1 (high elastic modulus),1.13,5.0,39.47,1.93,0.31,2.0,45.0,0.64,64.0
Ru2,Reocin Mine (Underground),Spain,Zinc ore,Underground,Group 1 (high elastic modulus),1.2,6.0,32.89,3.67,0.3,2.0,45.0,0.54,54.0
Ru3,Reocin Mine (Underground),Spain,Zinc ore,Underground,Group 1 (high elastic modulus),1.2,6.0,32.89,3.7,0.3,2.0,45.0,0.51,51.0
Ru4,Reocin Mine (Underground),Spain,Zinc ore,Underground,Group 1 (high elastic modulus),1.2,6.0,32.89,4.67,0.22,2.0,45.0,0.64,64.0
Ru5,Reocin Mine (Underground),Spain,Zinc ore,Underground,Group 1 (high elastic modulus),1.2,6.0,32.89,3.11,0.35,2.0,45.0,0.54,54.0
Ru6,Reocin Mine (Underground),Spain,Zinc ore,Underground,Group 1 (high elastic modulus),1.2,6.0,32.89,3.22,0.34,2.0,45.0,0.69,69.0
Mr1,Mrica Quarry,Indonesia,Andesite,Quarry,Group 2 (low elastic modulus),1.2,6.0,32.89,0.8,0.49,1.67,32.0,0.17,17.0
Mr2,Mrica Quarry,Indonesia,Andesite,Quarry,Group 2 (low elastic modulus),1.2,6.0,32.89,0.8,0.51,1.67,32.0,0.17,17.0
Mr3,Mrica Quarry,Indonesia,Andesite,Quarry,Group 2 (low elastic modulus),1.2,6.0,32.89,0.8,0.49,1.67,32.0,0.13,13.0
Mr4,Mrica Quarry,Indonesia,Andesite,Quarry,Group 2 (low elastic modulus),1.2,6.0,32.89,0.8,0.52,1.67,32.0,0.17,17.0
Mr5,Mrica Quarry,Indonesia,Andesite,Quarry,Group 2 (low elastic modulus),1.2,6.0,32.89,0.8,0.42,1.67,32.0,0.13,13.0
Mr6,Mrica Quarry,Indonesia,Andesite,Quarry,Group 2 (low elastic modulus),1.4,6.0,32.89,0.8,0.36,1.67,32.0,0.15,15.0
Mr7,Mrica Quarry,Indonesia,Andesite,Quarry,Group 2 (low elastic modulus),1.2,6.0,32.89,0.6,0.56,1.03,32.0,0.18,18.0
Mr8,Mrica Quarry,Indonesia,Andesite,Quarry,Group 2 (low elastic modulus),1.4,6.0,32.89,0.6,0.3,1.03,32.0,0.19,19.0
Mr9,Mrica Quarry,Indonesia,Andesite,Quarry,Group 2 (low elastic modulus),1.4,6.0,32.89,0.6,0.35,1.03,32.0,0.16,16.0
Mr10,Mrica Quarry,Indonesia,Andesite,Quarry,Group 2 (low elastic modulus),1.16,5.0,39.47,0.5,0.39,1.03,32.0,0.17,17.0
Mr11,Mrica Quarry,Indonesia,Andesite,Quarry,Group 2 (low elastic modulus),1.16,5.0,39.47,0.5,0.32,1.03,32.0,0.21,21.0
Db1,Dongri-Buzurg Mine,India,Manganese ore (micaceous/muscovite schist),Open-pit,Group 2 (low elastic modulus),1.25,3.5,20.0,1.75,0.73,1.0,9.57,0.44,44.0
Db2,Dongri-Buzurg Mine,India,Manganese ore (micaceous/muscovite schist),Open-pit,Group 2 (low elastic modulus),1.25,5.1,20.0,1.75,0.7,1.0,9.57,0.76,76.0
Db3,Dongri-Buzurg Mine,India,Manganese ore (micaceous/muscovite schist),Open-pit,Group 2 (low elastic modulus),1.38,3.0,20.0,1.75,0.62,1.0,9.57,0.35,35.0
Db4,Dongri-Buzurg Mine,India,Manganese ore (micaceous/muscovite schist),Open-pit,Group 2 (low elastic modulus),1.5,5.5,20.0,1.75,0.56,1.0,9.57,0.55,55.0
